Arabic	English
أإلي القاهره ذهبت أم إلي الاسكندريه؟	did you go to cairo or alexandria?
"أأنت طالب ياباني؟ ""نعم."""	"are you a japanese student? ""yes, i am."""
أأنت متأكد من ذلك؟	are you sure?
أاه! تنهدت.	aah! she sighed.
أبإمكانك أن تقلني إلي محطه القطار؟	could you give me a lift to the train station?
ابتاعت ماري فستانا جديدا للحفله.	mary bought a new dress for the party.
ابتسمت أليس.	alice smiled.
ابتسمت ليلي مع أمين صندوق المصرف.	layla smiled at the bank teller.
ابتسمت وقبلت هديتي الصغيره.	she smiled and accepted my little present.
ابتسم توم و ماري لبعضهم البعض.	tom and mary exchanged smiles.
"ابتسم ديما: ""أوه، بل أكثر بكثير، لكن في الواقع، هذه مكالمه يدفعها المستقبل. إذن أنت النوب، لأنك أنت الذي تدفع""."	"oh, it's a lot more, dima smiled. ""but actually, this is a collect call. so you're the noob, 'cause you're paying."""
"ابتسم ديما: ""بالتأكيد، أنت تمزحين!"""	"surely, dima grinned. ""you must be joking!"""
ابتسم سامي و لوح.	sami smiled and waved.
ابتسم مايك.	mike smiled.
ابتعت لها ساعه.	i bought her a clock.
ابتعت له ساعه.	i bought him a clock.
ابتعد عني	f*uk off
ابتعد عني.	get away from me!
ابتعد عني	stay away
ابتعد من هنا.	move your ass away.
إبحث تجد.	seek, and you will find.
أبحث عن عمل يا سيدي.	i am looking for a job, sir.
ابحث عن قطي تحت السرير.	look for my cat under the bed.
أبحث عن قفازاتي.	i'm looking for my gloves.
ابحث عنها في قاموسك.	look it up in the dictionary.
ابحث عنها في قاموسك.	look it up in your dictionary.
أبحث عن هديه لأبي.	i'm looking for a gift for my father.
ابحث عن وظيفه جيده.	find a good job.
ابدأ التصفيق.	start clapping.
ابدأ في التصفيق.	start clapping.
أبدأ لن أشك في صدقه.	i would never question his honesty.
أبدي فاضل استعدادا تاما لتقديم التفاصيل حول علاقته مع ليلي.	fadil was very forthcoming about the details of his relationship with layla.
أب سامي أساء إليه و تحرش به جنسيا.	sami's father abused and molested him.
أبعد سامي ليلي عن حياته.	sami removed layla from his life.
أبق الدواء بعيدا عن متناول الأطفال.	keep children away from medicine.
ابق بعيدا عني.	stay away from me.
أبقت الممرضات فاضل نصب أعينهن.	the nurses kept a close eye on fadil.
ابق خارج هذا الموضوع.	you keep out of this.
أبق عينيك مفتوحتين.	keep your eyes open.
أبق غرفتك نظيفه بقدر الإمكان.	keep your room as neat as you can.
ابق في البيت.	stay at home.
ابق مكانك. أنا أتصل بسياره إسعاف.	stay put. i'm calling an ambulance.
ابق هادئا من فضلك.	please be quiet.
ابق هنا معنا.	stay here with us.
أبقو حبهما سرا.	they kept it secret that they were in love.
أبقي جميع النوافذ مفتوحه.	he kept all the windows open.
أبقي سامي ذلك سرا لسنوات.	sami kept that secret for years.
أبقي سامي في المستشفي لمده تسعه أشهر.	fadil was kept in the hospital for nine months.
أبقي فاضل في المستشفي لتسعه أشهر.	fadil was kept in the hospital for nine months.
ابقي معي يا ليلي. إن سياره الإسعاف قادمه.	stay with me, layla. the ambulance is coming.
أبقيناهم صامتين.	we kept them quiet.
أبلغ سامي بفقدان ليلي.	sami reported layla missing.
أبله	fool!
أبله	idiot!
أبلي في الامتحان بلاء حسنا.	he did well in the examination.
ابنته وابني صديقان جيدان.	his daughter and my son are good friends.
ابنتي تحب صفار البيض.	my daughter likes egg yolks.
ابنتي في المستشفي لأنها أصيبت في حادث سير.	my daughter is in the hospital because she was injured in a traffic accident.
ابن عمي بارع في الخدع السحريه.	my cousin is good at doing magic tricks.
ابن عمي تورط في الاعمال المشبوهه والخزي للاسره	my uncle's brother's son got involved in a shady business and disgraced the family.
ابنك يكاد أن يكون نسخه من أبيك.	your son is almost a copy of your father.
ابني الآن في المرحله الثانويه.	my son entered high school.
إبني بنفس طولي حاليا.	my son is now as tall as i am.
أبو الأب جد و أبو الجد الجد الأكبر و أبو الجد الأكبر جد الجد لكن لم يحدد اسم لمن سبقهم من الأجداد.	the father of a father is a grandfather, a grandfather's father is a great-grandfather, a great-grandfather's father is a great-great-grandfather, but no word has been decided upon for the generations before great-great-grandfather.
أبو الحسين الراوندي، في القرن التاسع الميلادي، عد العقل دليل البشريه الوحيد للوصول إلي الحقيقه، وهي مهمه لا يمكن للوحي أن يكون سندا فيها.	abu al-husayn ibn al-rawandi, already in the ninth century, held that reason is man's exclusive guide to truth, a quest in which revelation is of no help.
أبواي يتحابان.	both of my parents love each other.
أبوه يناديه توم.	his dad calls him tom.
أبي اعتاد أن يكون رجلا قويا.	my father used to be a strong man.
أبي, أين أنت؟	father, where are you?
إبيجراما هو كلام قصير و حاد في النثر او القصائد ، غالبا ما يتميز بالحده اوالفضاضه و في بعض الاحيان يتميز بالحكمه .	an epigram is a short, sharp saying in prose or verse, frequently characterized by acidity or acerbity and sometimes by wisdom.
أبي ذاهب إلي الصين.	my father is going to china.
أبي رفض ذلك.	my papa said no.
أبي ساكن في منزل محتل.	my father lives in a squat.
أبي سوف يذهب إلي الصين.	my father is going to china.
أبي صارم للغايه.	my dad is very strict.
ابيض وجه ليلي.	layla turned white.
أبي طبيب.	my father is a doctor.
أبي غني	my father is rich.
أبي لا يأكل الكثير من الفواكه	my father does not eat much fruit.
أبي لا يقرأ كتابا الآن.	my father isn't reading a book now.
أبي ماهر في قياده السياره.	my father drives very well.
أبي مدرس.	my father is a teacher.
أبي يحب البيتزا.	my father loves pizza.
أبي يحب أمي.	my father loves my mother.
أبي يعطي أمي كل راتبه الشهري.	my father gives my mother all of his salary.
أبي يمشي.	my father walks.
أبي ينسي كل شيء.	my father forgets everything.
أتأسف.	i'm sorry.
أتأكل الرز في بلدتك؟	do you eat rice in your country?
أتأكل في المنزل ام في المطاعم؟	do you eat at home or eat out?
أتأكل في صفك؟	do you eat it in the classroom?
أتانا زوار غير متوقعين.	we had unexpected visitors.
اتبع تلك السياره!	follow that car!
إتبع تلك السياره.	follow the car.
إتبع قلبك فحسب.	just follow your heart.
اتبعني فحسب.	just follow me.
اتبعه.	follow him.
أتت إلي هنا حقا.	she did come here.
أتت إلي هنا فور ما سمعت بالأمر.	she came here as soon as she heard it.
أتتذكر المره التي زرنا فيها توم عندما كان لا يزال مراهقا؟	can you remember the time we visited tom when he was still a teenager?
أتت لتراني.	she came to see me.
أتت لزيارتي.	she came to see me.
أتت ليلي من مدينه سكانها من طبقه أدني.	layla came from a lower class town.
أتت ليلي و أخذتني.	layla came and picked me up.
أتت ليلي و اصطحبتني.	layla came and picked me up.
أتت ليلي و أقلتني.	layla came and picked me up.
أتت ماري	mary came in.
أتتني وسألتني عن اسمي.	she came up to me and asked my name.
أتجهزت لامتحان اليوم؟	are you well prepared for today's exam?
اتجه سامي مباشره إلي حاسوبه من أجل الدردشه.	sami went straight to his computer to chat.
أتحب التفاح أكثر أم الموز؟	what do you like most - apples or bananas?
أتحب الرياضه؟	do you like sports?
أتحب السفر بمفردك؟	do you like to travel by yourself?
أتحب الموسيقي؟	do you like music?
أتحب الموسيقي؟	do you love music?
أتحب موسيقي الراب؟	do you like rap?
أتحبني بحق؟	do you really love me?
أتحتاج لمساعده يا صاح؟	do you need any help, buddy?
إتحدت الدول الثلاث ليكونوا دوله واحده.	these three countries were united into one.
إتحدت الدول الثلاث ليكونوا دوله واحده.	the three countries were united to make one country.
أتحدث الإنجليزيه كل يوم.	i speak english daily.
أتحدث السلوفينيه قليلا.	i speak a little slovenian.
أتحدثت مع توم؟	have you spoken to tom?
أتحدث عنك.	i'm talking about you.
أتحدث لغه إيدو.	i speak ido.
أتحسبني سأسامحك؟	do you think i will forgive you?
اتخذت ليلي بعض القرارات السيئه في حياتها.	layla made some terrible decisions in her life.
اتخذ خيارا.	make your choice.
أتخيل منزلا أكون فيه سعيدا.	i imagine a house where i'm happy.
أتدرس الإنجليزيه؟	do you study english?
أتدرس اللغه الإنجليزيه؟	do you study english?
أتذكر أشياء كثيره.	i remember many things.
أتذكر البيت الذي نشأت فيه	i remember the house where i grew up.
أتذكر أنه سبق و أن رأيتها في الماضي.	i remember seeing her before.
أتذكر أني رأيتها.	i remember seeing her.
أتذكر أني سمعت هذه الموسيقي في مكان ما من قبل.	i remember hearing that music somewhere.
أتذكر أني شاهدت هذا الفيلم.	i remember seeing the movie.
أتذكر بأني رأيته من قبل في مكان ما.	i remember seeing him somewhere before.
أتذكر كل ما تقوله لي.	i remember everything you tell me.
أترجاك أن تسمتع إلي.	listen to me, i beg of you.
اترك الباب مفتوحا فحسب.	just leave the door open.
اترك الباقي لي.	leave the rest to me.
اترك سيارتي و شأنها.	leave my car alone.
اترك مكتبك كما هو.	leave your desk as it is.
اتركني أدخل لو سمحت.	let me in, please.
اتركني و شأني!	leave me alone!
اتركه و شأنه.	leave him in peace.
اتركوا الأمر لي يا رفاق.	leave it to me, guys.
أتريد الاخضر أم الازرق؟	do you want the green or the blue?
أتريد الاخضر أو الازرق؟	do you want the green or the blue?
أتريد التحدث علي انفراد؟	maybe you want to talk in private.
أتريد أن تشرب شيء ما؟	would you like something to drink?
أتريد حقا من توم أن يفعل ذلك؟	do you really want tom to do that?
أتريد شيئا؟	do you want anything?
أتريد مني مساعدتك في ذلك؟	do you want me to help you do that?
أتريد نانسي اقتناء كلب.	does nancy want to have a dog?
أتساءل أين ذهبت يوكو.	i wonder where yoko has gone.
أتساءل أين يختبئ.	i wonder where he is hiding.
أتساءل عما حدث له و لجمال.	i wonder what happened to him and jamal.
أتساءل فقط إن كان الأمر مشابها بالنسبه للآخرين.	i can only wonder if this is the same for everyone else.
أتساءل لماذا قال توم ذلك	i wonder why tom said that.
أتساءل لم يعد أحد يقوم بذلك.	i wonder why nobody does that anymore.
أتساءل ما إذا كانت ستعترف لي بعد العديد من السنوات.	i wonder if she'll recognize me after so many years.
أتساءل ما الذي حدث.	i wonder what happened.
أتساءل ما المشكل يا جمال.	i wonder what's wrong, jamal.
أتستطيع الكلام بالألمانيه؟	can you speak german?
أتستطيع أن تفرق توم من أخيه؟	can you tell tom from his twin brother?
أتسكن هنا؟	do you live here?
أتسمح لي أن أشاركك الجلوس علي الطاوله؟	may i share this table with you?
أتسمح لي بالعزف علي البيانو؟	will you allow me to play the piano?
أتسوق كل صباح.	i go shopping every morning.
اتصل ابنها من نيويورك.	her son called from new york.
اتصل المدرس بأمي.	the teacher called my mom.
اتصل المدرس بمدير المدرسه.	the teacher called the principal.
اتصل المدرس بوالدي.	the teacher called my parents.
اتصل بالطبيب!	call the doctor!
إتصل بتوم.	contact tom.
اتصل بمصلحه الإطفاء.	call the firefighters.
اتصل بي.	call me.
اتصل بي بيل ليله أمس.	bill called me last night.
اتصل بي حين تأتي إلي طوكيو رجاء.	please get in touch with me when you come to tokyo.
اتصل بي غدا.	call me tomorrow.
"اتصل بي في أي لحظه تحتاجني فيها. ""هذا لطف منك يا دكتور."""	"feel free to call whenever you need me. ""that's kind of you, doctor."""
اتصل بي مره أخري خلال يومين.	call me again in two days.
اتصلت الشرطه بسامي.	the police contacted sami.
اتصلت الشرطه بقسم الصحه.	the police got in touch with the health department.
اتصلت ب‍ 911.	i dialed 911.
اتصلت بتوم.	i called tom up.
اتصلت بسامي.	i called sami.
اتصلت بصديقي بعد أن وصلت إلي المحطه.	i called my friend after arriving at the station.
اتصلت بي فتاه.	a girl phoned me.
اتصلت بي في وقت متأخر الليله الماضيه.	she called me up very late last night.
إتصلت عليها مساء الأمس ولكنها لم تجب.	i called her last evening but she didn't answer.
إتصلت عليها مساء أمس ولكنها لم ترد.	i called her last evening but she didn't answer.
اتصلت ليلي بسامي.	layla contacted sami.
اتصلت ليلي بصديقها.	layla called her friend.
اتصل سامي بأبيه.	sami called his dad.
اتصل سامي بالثانويه التي تدرس فيها ليلي.	sami called layla's high school.
اتصل سامي بالعياده.	sami called the clinic.
اتصل سامي بأمن العماره.	sami called the building security.
اتصل سامي بسياره إسعاف.	sami called an ambulance.
اتصل سامي بشخص ما.	sami called someone.
اتصل سامي بكل مطعم في المدينه.	sami called every restaurant in the city.
اتصل سامي بليلي.	sami contacted layla.
اتصل سامي بليلي.	sami phoned layla.
اتصل سامي بليلي من منزل الجار.	sami called layla from the neighbors' home.
اتصل سامي بمحطتنا الإذاعيه.	sami called our radio station.
اتصل سامي بمطعمه و طلب بعض الأكل.	sami called his restaurant and ordered some food.
اتصل سامي بي.	sami called me.
اتصل سامي من القاهره.	sami called from cairo.
اتصل سامي هاتفيا بمدير الفندق.	sami placed a call to the hotel director.
اتصل سامي يائسا بالشرطه.	sami desperately phoned police.
اتصل علي حين ترجع.	give me a telephone call when you get back.
اتصل فاضل بالشرطه.	fadil contacted the authorities.
اتصل فاضل بالشرطه من أجل المساعده.	fadil called the police for help.
اتصل فاضل بالشرطه و أخبرها باختفاء إبنه.	fadil called the police and reported his child missing.
اتصل فاضل بليلي علي هاتفها الخلوي.	fadil called layla's cell.
اتصل هاري علي منزل طوني.	harry called at tony's house.
أتضح لتوم أنه وقع في حب ماري.	tom realized that he had fallen in love with mary.
اتظر سامي في صمت.	sami waited in silence.
أتظن أن توم اشتراها؟	do you think tom bought it?
أتظن أنني عاهره؟	what do you think i am, a whore?
أتظنها ستثلج؟	do you think it's going to snow?
أتظنها كانت حادثه؟	do you think it was an accident?
أتعتقد أن المال سيجلب لك السعاده?	do you think money will bring you happiness?
أتعتقد أن هناك أشباح؟	do you believe there are ghosts?
أتعتقد حقا أن المال سيجلب لك السعاده?	do you really think money will bring you happiness?
أتعدني؟	do you promise?
أتعديني؟	do you promise?
أتعرف أحدا في أستراليا؟	do you know anyone in australia?
أتعرف السيد براون؟	do you know mr. brown?
أتعرف كيف تربط ربطات حذائك؟	do you know how to tie your shoes?
أتعرف كيف تلعب الشطرنج؟	do you know how to play chess?
أتعرف ما الإجابه؟	do you know the answer?
أتعرف ما هي؟	do you know what it is?
أتعرف من يكون توم من بين هؤلاء؟	do you know which one of those guys is tom?
أتعرف والدي؟	do you know my father?
أتعلم العربيه.	i am learning arabic.
أتعلم العربيه.	i learn arabic.
أتعلم اللغه الإسبانيه.	i am learning spanish.
أتعلم اللغه الكوريه.	i'm learning korean.
أتعلم أين هي محطه الشرطه؟	do you know where the police station is?
أتعلم ما هي؟	do you know what it is?
أتی عمي لرؤيتي.	my uncle came to see me.
إتفقوا علي انتخابه رئيسا.	they agreed to elect him as president.
إتفقوا علي سعر ما.	they agreed on a price.
أتكلم الأمازيغيه كناطق أصلي بها.	i speak berber like a native speaker.
أتكلم الأمازيغيه مع أطفالي.	i speak berber to my kids.
أتكلم الأمازيغيه مع أقاربي.	i speak berber with my siblings.
أتكلم العربيه.	i speak arabic.
أتلعب التنس؟	do you play tennis?
أتمشي في الحديقه.	i'm taking a walk in a park.
أتملك الكثير من الوقت؟	do you have a lot of time?
أتممنا ما أتينا لأجله.	we've done what we came to do.
أتمنتي فقط لو أستطعت تكلم الفرنسيه.	i just wish i knew how to speak french.
أتمني الذهاب إلي اليابان.	i wish i could go to japan.
أتمني الذهاب إلي هاواي.	i wish to go to hawaii.
أتمني أن أري.	i wish to see.
أتمني أن أقيم في فندق خمس نجوم.	i wish to stay at a five-star hotel.
أتمني أن أكون طبيبا.	i wish to be a doctor.
أتمني أن تأتي مره أخري.	i do hope you'll come again.
أتمني أن تتقبلوا طلبي.	i hope that you'll accept my request.
أتمني أن تتوقف عن تشغيل تلك الموسيقي الغبيه.	i wish she would stop playing that stupid music.
أتمني أن لا يكون أحد رآني.	i just hope no one saw me!
أتمني لك الشفاء العاجل.	i sincerely hope that you will soon recover from your illness.
أتمني لك النجاح في الامتحان.	good luck on the exam!
أتمني لك نوما هادئا يا تمي.‏‏	good night, timmy!
أتمني لو أعيش قريبا من منزلك.	i wish i could live near your house.
أتمني لو كان هناك المزيد من الناس مثلك.	i wish there were more people like you.
اتمني لو كنت اخبرتني من قبل	i wish you'd told me before.
أتمني لو لم يجب علي أن أخبرك هذا، ولكن...	i wish i didn't have to tell you this, but ...
اتهمت بالكذب.	she was accused of telling a lie.
اتهمت ليلي فاضل بمواعده نساء أخري.	layla accused fadil of seeing other women.
اتهمتني بأني كاذب.	she accused me of being a liar.
اتهمتني بأني كذبت.	she accused me of telling a lie.
اتهمتني بأني لم أكتب لها أبكر.	she accused me of not writing to her sooner.
اتهمته الشرطه بالقتل.	the police accused him of murder.
إتهمت هيئه المحلفين الكبري توم بجريمه قتل.	the grand jury indicted tom for murder.
إتهمنا الشخص الخطأ بعمليه القتل.	we indicted the wrong person for homicide.
اتهمني السيناتور بتشويه المعطيات.	the senator charged that i had distorted the data.
أتوا هي عاصمه كندا.	ottawa is the capital of canada.
أتوتر دائما قبل أن أخرج إلي المسرح.	i always get nervous before i go on stage.
أتوجد مجلات إنجليزيه في هذه المكتبه؟	are there any english magazines in this library?
أتود أن تكون صديقي الجديد؟	would you like to be my new friend?
أتود مشاهده التلفاز؟	would you like to watch tv?
أتوقع أن يصل قريبا.	i expect him to come soon.
أتوقع مساعدتك.	i expect your help.
أتي الجميع باستثناء توم.	everyone came except for tom.
أتي السيد براون ليراك، فوجد أنك غير موجود.	mr brown came to see you were out.
أتيا والدي سامي و اصطحباه.	sami's parents came and picked him up.
أتيا والدي سامي و أقلاه.	sami's parents came and picked him up.
أتيت إلي هنا البارحه.	i came here yesterday.
أتيت بالسياره.	i came by car.
أتيت سيرا علي الأقدام.	i came on foot.
أتيت لإنقاذك.	i've come to save you.
أتيت هنا آملا رؤيه توم.	i came here hoping to see tom.
أتي دور كين.	ken's turn came.
أتي سامي.	sami came.
أتي سامي إلي الاجتماع.	sami came to the meeting.
أتي سامي إلي البار كي يتناول فطور الصباح.	sami came to the bar to eat breakfast.
أتي سامي إلي العياده لمقابله ليلي.	sami came to the clinic to see layla.
أتي سامي إلي المسجد قبل الأذان.	sami came to the mosque before the adhan.
أتي سامي إلي موقف الحافله لإقلال ليلي.	sami came to the bus stop to pick layla up.
أتي سامي لاصطحاب صديقته.	sami came to pick up his girlfriend.
أتي سامي و أقلني. لقد كان رجلا مهذبا.	sami came and picked me up. he was a gentleman.
أتي ضابط شرطه آخر.	another police officer came.
أتي عده مرات.	he came several times.
أتي لمساعدتنا بالرغم من انشغاله.	he was busy, and yet he came to help us.
أتي مناد إلي منزل جدتي.	mennad came over to grandma's house.
أتي مناد إلي منزلي في نهايه الأسبوع.	mennad came over to my house on the weekend.
أتي ولدي إلي غرفتي.	my son came to my room.
أثارت جريمه اغتيال فاضل حيره المحققين.	the murder of fadil sadiq puzzled the investigators.
أثار شهر رمضان اهتمام سامي.	sami was intrigued by the month of ramadan.
أثر إدمان سامي علي حياه ليلي.	sami's addiction affected layla's life.
أثر الإضراب علي اقتصاد البلاد.	the strike affected the nation's economy.
أثرت فينا صداقتهم بشده.	their friendship moved us deeply.
أثر في لطفها.	her kindness touched me.
أثق في قدرتك.	i believe in you.
أثلجت بشده الأمس.	it snowed hard yesterday.
أثلجت هذا العام أكثر من العام الماضي.	it snowed more this year than last.
أثمه ما تريد إخباري عنه؟	is there anything that you want to tell me?
أجابت باكيه.	she answered in tears.
أجابت باكيه.	she answered with tears.
إجابتك خاطئه.	your answer is wrong.
إجابتك صحيحه.	your answer is right.
أجاب جون عن أخته.	john answered for his sister.
أجاب سامي.	sami replied.
أجبت ليلي بالحفل.	layla liked the party.
أجبرت علي الذهاب هناك.	i was made to go there.
أجبر سامي ليلي علي تنظيف الفوضي بشعرها.	sami made layla clean up the mess with her hair.
أجبروها علي الإعتراف.	they forced her to confess.
أجب علي أسئلتي.	answer my questions.
اجتاح العديد من السياح الجزيره .	a lot of tourists invaded the island.
اجتزت امتحاني للأمازيغيه.	i passed my berber test.
أجرت ليلي اتصالا طالبه سياره إسعاف.	layla called for an ambulance.
أجري الجراحون عمليه جراحيه أنقذت حياه فاضل.	surgeons performed life-saving surgery on fadil.
اجعلها أصغر.	make it smaller.
أجلت رحلتها إلي المكسيك.	she postponed her trip to mexico.
أجل ، ساعدني بوب.	yes, bob helped me.
اجلس بشكل مريح.	sit comfortably.
"اجلس. ""شكرا."""	"sit down. ""thank you."""
اجلس في أي مكان تحب.	sit wherever you like.
إجلس مستقيما.	sit up straight.
أجلس وحيدا في بيتي.	i'm sitting alone in my house.
أجل نستطيع.	yes, we can.
اجمع أغراضك وغادر.	pick up your things and go away.
اجمع هذه الأعداد.	add up these figures.
أجني مئه يورو في اليوم.	i make €100 a day.
أجني مئه يورو في اليوم.	i make €100 a day.
أجهشت بالبكاء.	she began crying.
أحاول النوم.	i'm trying to sleep.
أحاول أن أفهم لماذا لم تقم بالأمر .	i'm trying to understand why you didn't do it.
أحاول ترك مكان للتحليه.	i'm trying to save room for dessert.
أحاول ترك مكان للحلوي.	i'm trying to save room for dessert.
أحب أكل اللازانيا.	i love lasagna.
أحب الأفلام.	i like movies.
أحب الأفلام.	i love movies.
أحب الأفلام الأمريكيه.	i love american movies.
أحب الأفلام الفرنسيه.	i love french films.
أحب الأفلام الفرنسيه.	i love french movies.
أحب الأكل الجزائري.	i love algerian food.
أحب البيتزا كثيرا.	i like pizza very much.
أحب التزحلق علي الثلج.	i am fond of skiing.
أحب الحفلات.	i love parties.
أحب الذهاب إلي السينما.	i love to go to the movies.
أحب الرحلات.	i love trips.
أحب الرز	i like rice.
أحب الرياضه.	i like sport.
أحب الرياضه.	i like sports.
أحب الشعر القصير.	i like short hair.
أحب الطريقه التي تعامليني بها.	i like the way you treat me.
احب العمل معك.	i love working with you.
أحب الفواكه.	i like fruit.
أحب القصص المصوره.	i love comic books.
أحب القلاع.	i like castles.
أحب القهوه ساخنه.	i like coffee hot.
أحب الكعك.	i like cake.
أحب الكعك أيضا.	i also like cake.
أحب اللغات الأجنبيه.	i like foreign languages.
أحب اللغات الساميه.	i love semitic languages.
أحب اللغه العربيه.	i love arabic.
احب المنافسه معك.	i love competing with you.
أحب النتس جدا.	i like tennis very much.
أحب الورد الأحمر.	i like red roses.
أحب الورود الحمراء.	i like red roses.
أحب أن اتصدق ببعض المال كل عام.	i like to give a little charity each year.
أحب أن أرقص.	i love to dance.
أحب أن أفكر في الجمل التي سأنشرها علي تاتوبا.	i love dreaming up sentences to post on tatoeba.
أحب أن أقرأ الكتب	i love to read books.
أحب أن أكون قادر علي قضاء المزيد من الوقت معك, ولكن علي العوده إلي العمل.	i'd love to be able to spend more time with you, but i have to get back to work.
أحببت حقا الحديث مع توم.	i really liked talking to tom.
أحببت ذلك الكلب.	i liked that dog.
أحب بلدي.	i love my motherland.
أحببنا المدرس البديل.	we loved the substitute teacher.
أحب تأمل النجوم.	i like stargazing.
أحبت دعاباتي.	she liked my jokes.
أحب تعلم اللغات.	i like studying languages.
أحب تعلم اللغات القديمه.	i like learning old languages.
أحب تقدير الكميه التي أحتاجها من المكونات، غالبا لأنني لا أرغب بغسل أكواب القياس مره تلو الأخري.	i like to eyeball my ingredients, mostly because i don't feel like washing my measuring cups over and over.
أحب توم لأنه أمين.	i like tom because he's honest.
أحب جون و ماري بعضهما.	john and mary loved each other.
أحب جيرانك.	love your neighbors.
أحب دائما أن أستمع للموسيقي الكلاسيكيه عندما يكون لدي وقت فارغ.	i always enjoy listening to classical music when i have some free time.
أحب دراسه التاريخ.	i like studying history.
أحب ذاك الكرسي.	i love that chair.
أحب ذلك الكلب.	i like the dog.
أحب سامي العيش في القاهره.	sami loved living in cairo.
أحب سامي ذلك.	sami enjoyed it.
أحب سامي ليلي.	sami liked layla.
أحب شرب القهوه ساخنه.	i like coffee hot.
أحب ضوء الشموع.	i like candlelight.
أحب طعم البطيخ.	i love the taste of watermelon.
أحب عزف موسيقي البلوز.	i enjoy playing the blues.
أحب فيه صدقه.	i like him because he is honest.
أحب قراءه الكتب	i like reading books.
أحب قراءه الكتب.	i love reading books.
أحب قراءه الكتب	i love reading books.
أحب قصص الغرام.	i like love stories.
أحب قطتك.	i love your cat.
أحب قطتكم.	i love your cat.
أحب قطك.	i love your cat.
أحب قطكم.	i love your cat.
أحبك.	i do love you.
احبك.	i love you.
أحبك أكثر مما تحبني.	i love you more than you love me.
أحب كاليفورنيا.	i love california.
أحبك بجنون.	i'm crazy about you.
أحب كره المضرب.	i like tennis.
أحبك كثيرا بما فيه اليوم.	i love you so much, including today.
أحبك وأريد الزواج بك.	i'm in love with you and i want to marry you.
أحبك و أريد أن أتزوجك.	i'm in love with you and i want to marry you.
أحب كيف يصبح الهواء عليلا بعد نزول المطر.	i love the way the air is so fresh and clean after it rains.
أحب لعب التنس.	i like tennis.
أحب لعب التنس والغولف.	i like playing tennis and golf.
أحب لعب كره القاعده.	i like playing baseball.
أحب مساعده الآخرين.	i like helping others.
أحب مشاهده الأفلام.	i like movies.
